Project Rank,Holder Rank,Address,Reward (sFTMx),Reward ($)
Winner 1,413,0xf9fcd0432c48c775c512b5b415ce822c58877c6c,14.56467385,9.402953438
Winner 1,414,0x44e26e7c6bfc50cd04fe71376347c6dab2a3b5db,14.56467385,9.402953438
Winner 1,415,0x7784bddc2d1a651dadbad928f06a0b84fcd82c09,14.5472056,9.391675935
Winner 1,416,0x0df5d646dee223a87d55b6dca210947d1745fc89,14.52737385,9.378872558
Winner 1,417,0x06bc3db4d8c57ef2572e9fe9f3776ead971c98ef,14.52473084,9.37716623
Winner 1,418,0x4f44dfc813c3ecc76c65f5cbe76675864522c911,14.52473084,9.37716623
Winner 1,419,0xf3e5b415e84047d68e412cccd2d14b15e308b120,14.52473084,9.37716623
Winner 1,420,0x358381d47590f15dd51e2de0d53ef5ee51957ed9,14.52473084,9.37716623
Winner 1,421,0x84ca2accea217f3e9953c2edcfcd16fc60d335c7,14.52473084,9.37716623
Winner 1,422,0x8e9a87e2ec35bafafb8a93d81b589eca92577054,14.48883121,9.353989429
Winner 1,423,0xa0035d1b65f408d605c2754b9acd0e3ba4013202,14.39703683,9.294726977
Winner 1,424,0x6a67f4ecf25f257bf5fdac77ceb15c5800cc5ca0,14.19321071,9.163136834
Winner 1,425,0x8a257a3b522656fe4a93469a350e5d0c6ae211b6,14.14279219,9.130586638
Winner 1,426,0x262ad4cad20e75cef1492cc0c408ebd9c5f86fb0,14.05125765,9.071491939
Winner 1,427,0xeceb3bc3d347dd3a41a0c90223e9fe3952674d28,13.9569957,9.010636424
Winner 1,428,0x66fe279178fd2efdb83334bfeb614d7adc2f8090,13.51767491,8.727010922
Winner 1,429,0x2067d095f4cacb434e921a2cf5b89a09dbf518a4,13.34330594,8.614438315
Winner 1,430,0xfb17d5cd85854b6bee89e714591de521f3169de5,12.91027587,8.334874102
Winner 1,431,0x948e422da3bd457289c526c8be6319949411bd5a,12.90393818,8.330782489
Winner 1,432,0x4b7292679d439ccd83b972a5ff848b47391affca,12.81557746,8.273736808
Winner 1,433,0xd588a467c361c3f7b3a85b100fe550c61ed0b5d0,12.57447864,8.11808341
Winner 1,434,0x7bbc5d8ac67c85b4342114e82a6158ebdd281013,12.36886979,7.985342336
Winner 1,435,0xeefba8332fa31e07534709a5b240da1de268aaad,12.34675456,7.971064744
Winner 1,436,0xa453cb778a86b39ab04479f47fa64e76442081e2,12.18372948,7.865815752
Winner 1,437,0x2929ce7f207265a8de6ba2ebe06f56d93ca11474,12.14559306,7.84119488
Winner 1,438,0x3214e141bdae08be1f382a885cf3d2a448a5e780,12.13418684,7.833831024
Winner 1,439,0xabda32481d1c4dd75a848fc629e412eded7391dc,12.12380049,7.827125596
