Address,reward_sftmx,reward_usd_end,reward_usd_dist
0x30b171cc3fda751707bcff7b8d300faf10a531dc,38796.99766057457,25047.341689666937,26046.51956741738
0x5daf884b73f6ab637d72bf09475a8455121614e6,28683.61778746728,18518.143643588875,19256.861536087312
0x76c0c3d5127da9333e14ac31669989e322076713,19382.05526046607,12513.054876156895,13012.220327334939
0x28aa4f9ffe21365473b64c161b566c3cdead0108,19279.526106146364,12446.862054128094,12943.38696946579
0x672fd76b1d6c6287c3dbca06506552ab4f113c43,18742.477672119003,12100.143585120028,12582.837355087782
0xf3fcaf61f908fb1565401128f7f8b16afa2e0d67,17459.486380658338,11271.844407353025,11721.4960196005
0x4bd13db31148b5aebb2433548d7e4bff996ace6e,17357.05335003265,11205.713642781078,11652.727194757821
0x8485c883024d0e61d8b90eec2d5b76d538361388,13670.316810579203,8825.556532909934,9177.621872049593
0xa50c39df4dc590e2efb93b92de65b8abbe330349,13249.452946294861,8553.846822127962,8895.073233306839
0xa85a310a4d015cf2c17dee2aab732be70ef09114,12709.13948224148,8205.020449735099,8532.331627960748
0xbe709b283ed397f8de2211e07dc3f81e1d436cf6,11982.90294039911,7736.162138321665,8044.769820648705
0x18907a779cfcf032be79e9f638319a10861fa41b,11647.639406541844,7519.716000863414,7819.689306139494
0x6d1c44dfebaa3903353a6ae098385f638a8ed740,11619.783407125302,7501.732167640094,7800.988069507201
0x4268560e1fd35f4006af49dbfb8db2edb218424f,11379.287113428058,7346.467760429155,7639.529920748381
0x89cff61026f6743b8d25ae9b253582083136b1c4,10847.33351717156,7003.038518685959,7282.400746087197
0x47c8260e5279495a9307ac7481eaa9ff977a02e0,9277.664293648939,5989.660067979755,6228.597034198391
0x9324829ccd07b08c8d27096308f37d7cc6ea6edf,9051.014809291732,5843.335160878741,6076.434996277241
0xeb07070b5b87a07278ca99f132fa5e304fc2e074,8789.229618796513,5674.32664189503,5900.684461497515
0xf409bdec39ce3dc457f0a19abbd517e6bb359027,8513.711027437683,5496.451839313769,5715.7139531143985
