Project Rank,Holder Rank,Address,Reward (sFTMx),Reward ($)
Winner 2,1,0x28aa4f9ffe21365473b64c161b566c3cdead0108,14090.57109,9096.872696
Winner 2,2,0x4268560e1fd35f4006af49dbfb8db2edb218424f,11379.28711,7346.467758
Winner 2,3,0x89cff61026f6743b8d25ae9b253582083136b1c4,10844.60547,7001.277291
Winner 2,4,0x5bfd4428087a2fe1638d2f9e784b3c1799787a50,5886.828706,3800.536613
Winner 2,5,0x7a4a37dd112e8bbc6799b26f82faa76c3fc94078,5534.780146,3573.254062
Winner 2,6,0x62824cee52da61449023f3a7cfdfadd3e74dd22e,5405.661885,3489.895313
Winner 2,7,0x4fbe05004bdc105ecfc81b3e8afbd946c2634081,4967.285843,3206.87974
Winner 2,8,0x62c6e060ea69b7c6d145b73bc834ede9a1b7eed8,4859.012335,3136.978363
Winner 2,9,0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe,4528.029042,2923.29555
Winner 2,10,0x137a48f028be804425428cdd1591675a583235e0,4310.717024,2782.998911
Winner 2,11,0xb6700529a81d11af7d8af57ac319a3f6e5e6ef60,4257.67358,2748.754063
Winner 2,12,0x840745933bb29d67ebd6c756692b84a70efdfd76,3974.521234,2565.950909
Winner 2,13,0xa6e950aa70ebaaf99686a5d95afe8aca8b5e353b,3855.462823,2489.086799
Winner 2,14,0x0bd43f463074e731718f970c35b3fa7c8184c642,3479.689087,2246.487275
Winner 2,15,0x5a8550dc4db218f563c8cbaa6474c984061ae66c,3406.138864,2199.003251
Winner 2,16,0x6bce18f6520549cc21fb82772e916c84d44278d8,3139.921357,2027.133228
Winner 2,17,0xd3c6166da8b69e9a67fdcd6f79abae98e3d05238,3012.801467,1945.064627
Winner 2,18,0xad444a85fddedbd33c4bf662c1b4d83ec6cdebb9,3001.63956,1937.8585
Winner 2,19,0x3199d3442e1bba852cd952d2a48ecf5e94e3316b,2951.987015,1905.802817
Winner 2,20,0x42b2a6c9a04f653eda2d6205aeede8e94582d2cf,2839.650845,1833.278586
Winner 2,21,0x3179f228390ccf71dd3bf3730824b21b3affbf58,2838.449053,1832.502709
Winner 2,22,0x7431931094e8bae1ecaa7d0b57d2284e121f760e,2470.905683,1595.216709
Winner 2,23,0xa28d31dec6659b8011e15c34cfb40cb72f718ff1,2398.910131,1548.736381
Winner 2,24,0x6a4c9464ad41ae8b48beef57129902a20423f1f8,2202.845433,1422.157012
Winner 2,25,0x6fb966a32be4c0d10a0329bdb1f01dd89ad264c2,2096.621288,1353.578704
Winner 2,26,0x9e138c3c1249f1627168d02359a4ba82e5f2ebd4,1983.922995,1280.820686
Winner 2,27,0x634fbb6efdc7a0b58d869c3b878fd5d6ccd96fab,1660.773787,1072.195557
