Project Rank,Holder Rank,Address,Reward (sFTMx),Reward ($)
Winner 3,1,0x28aa4f9ffe21365473b64c161b566c3cdead0108,5171.982867,3339.032139
Winner 3,2,0x645044ac0e7e3cd1ba3d83aa6badba0dca6234b9,2985.766854,1927.611081
Winner 3,3,0x04e0946d2bf513218411466025e36fdf86f48ad1,2957.370704,1909.278527
Winner 3,4,0x4ffe83103f9d871a5a1e2b8bdeb26409293be7a0,2879.207705,1858.816494
Winner 3,5,0x8029fc28c52cc77631c121191fe1375fd1cf52b1,1973.381866,1274.015333
Winner 3,6,0x79302eb38cc9b796b1cda74f5e7c696883930827,1206.221704,778.7367321
Winner 3,7,0x97988fc6443fcfaaa001ee320d5ebfcbf510a521,966.5730915,624.0195879
Winner 3,8,0x2930bae4c9d516a095ae9f48e868cdae86d9397f,871.7399846,562.7953341
Winner 3,9,0xe7bc06490a89bc5e2cefae6ecab7cd394cd25f94,868.4790868,560.6900984
Winner 3,10,0xa197f43de97e8f244a6aaef7f8c2cf1c4cd6f7cf,774.2112677,499.8307944
Winner 3,11,0x30462594b784ca284541cf0330c98c2fc74afca9,713.4452917,460.6002803
Winner 3,12,0x7a4a37dd112e8bbc6799b26f82faa76c3fc94078,664.2493077,428.8393531
Winner 3,13,0x629e97f287f8d6f72162390e2b866db4551f6301,662.5131498,427.7184895
Winner 3,14,0xeebf3371f4e4e295d6782f74fb987f5f2b4acfd0,612.7606413,395.59827
Winner 3,15,0xd53fd2b947d4ead4923adc7e0e23809916d25879,551.9669701,356.3498759
Winner 3,16,0xf7b3f0013f32f7e0b32272e9987f29de341182d7,535.7955537,345.9096095
Winner 3,17,0x4f72a89fa931e19276666fca3366bd033ce90f42,493.640175,318.694097
Winner 3,18,0x84d01c69dae12cf9090e3473a7c9031635489e48,482.5797672,311.5534977
Winner 3,19,0xd2621789930fc0820d3e18a0bf6c0afc23c9b8f1,467.0665197,301.5381451
Winner 3,20,0xce655486c6da0e46219efb09d653d3362733a302,443.8902974,286.575576
Winner 3,21,0x859fef872c09b286945b3f3e3b28c3b6b85ff447,442.5551801,285.7136243
Winner 3,22,0x924cafec4f967be5df085ad94d8d50574f9a2bb0,418.8098355,270.3836298
Winner 3,23,0x721dbede6fe787181ccf9630989082074f67bb02,417.4943569,269.5343568
Winner 3,24,0xe52e9773dd0cc7f08ae41c1d86bbf298a3ef9b14,410.1150707,264.7702896
Winner 3,25,0x5d22db0ddc365dbdc0983441e2906d51855a142d,386.2735636,249.3782127
Winner 3,26,0x9eb408e53dfa0c877b65bbe874de81247212380e,363.7487992,234.8362248
Winner 3,27,0x8485c883024d0e61d8b90eec2d5b76d538361388,363.5906304,234.734111
Winner 3,28,0xb4ec5dac9359d64759d4754af98813ff6b360b84,362.8235842,234.238906
Winner 3,29,0x55d564bdad517cc4721ba7ab7612c97d888d4b7a,351.5071254,226.9330002
Winner 3,30,0x5ad8c28784728a48f03967e4f3e348d5b6c9e93b,349.2967207,225.5059629
Winner 3,31,0xd50ce362336dd44cb5ea2c7af73b5c65b90db5b0,328.6479353,212.175107
Winner 3,32,0x97a406747bfb178a82fc47a7772ce591375660a7,324.2367575,209.3272506
Winner 3,33,0x2841a2c215b47fa6fd1557e8e122500a7c928cf3,319.0120899,205.9542052
Winner 3,34,0xfb94865ab40d40be96e97e9a14994912a45e6765,313.2073249,202.206649
Winner 3,35,0x366cc1abfb58aa348247bd7d313d97ca17bba275,306.9617364,198.174497
Winner 3,36,0xc7c4fb19346430e3abba193c3da13c44d5742afe,305.9595066,197.5274575
Winner 3,37,0x381dbcc8888642ef87da499aeee039b074768c1e,305.3745784,197.1498278
Winner 3,38,0x124855908c999054782d25b5792b8d4b6a791da0,296.36555,191.3335991
Winner 3,39,0xc3660ee9c357bf631af63621385dcf9d5cf2f301,266.2204055,171.8718938
Winner 3,40,0x6105b2b5aeb25369d60f896165c528e2d3af465e,254.3931167,164.2361961
Winner 3,41,0x23da03db8c158681155d1820e8d44f089d890ee6,253.4026003,163.5967188
Winner 3,42,0x65cbd6decf896eb1dc281e014f0ad3bec2811a3c,252.5278014,163.0319486
Winner 3,43,0xb1ed930c6cfbab7d125251925d3aa19688db890a,248.7033639,160.5628917
Winner 3,44,0x75f8454e45f8cb2b4f3d2e63960754f32b4d59be,248.112751,160.181592
Winner 3,45,0xadabde71d13b032d7927e17b05a51ff1b9c1c131,246.4573897,159.1128908
Winner 3,46,0xdfde81a43407d251887ab39fef3de90809571075,241.2447269,155.7475957
Winner 3,47,0xf3ac11da31b4ca339582c304a93fe9738d0e5411,241.2447269,155.7475957
Winner 3,48,0x37b7a4716ebdc53ac4ab5ecb3f22ad2f4de45151,240.869273,155.5052026
Winner 3,49,0x1e03f4ce5a00809b49b9093023c84ce98a28b535,236.5058244,152.6881602
Winner 3,50,0x61607e1110076355137ff18d2d6dd24153fd1f02,231.9312153,149.7347926
Winner 3,51,0x1bd1b5bc6b17eb7a2ea8764766f79df4fcd2d252,219.3677212,141.6238008
Winner 3,52,0x2a3be5b2447b36bb8c268f5dace810a535eb1e77,213.4618297,137.8109573
Winner 3,53,0xcdef3db7c43fbad28578f481e5ff47847ac4c99b,212.5110373,137.1971257
Winner 3,54,0x8341c7040957547535664625097b124f7a239c62,205.893844,132.9250657
Winner 3,55,0xb0b0e4ceefde71209a113144b5924fae90f06798,203.2387648,131.2109466
Winner 3,56,0xaf03267d12153bef68dc4d6f7426857c5462544a,197.7056057,127.638739
Winner 3,57,0x8a881fb7bc78796e206bdd61cba223df44316f90,190.0958838,122.7259026
Winner 3,58,0x4ff6c8c22182f748b9f18e9fa562237f826d908b,188.2902689,121.5601976
Winner 3,59,0x17c098031735f1e9c1aae772e558c52ec974c8fe,186.2202237,120.2237764
Winner 3,60,0xdb3be154aeb741867196a918fa2bd5f704dc022a,182.8024914,118.0172884
Winner 3,61,0xb1c94d3579d36f8e80e8760213670f46b71836d3,168.1185531,108.5373379
Winner 3,62,0xa06c4b981dae1e0e8945eb61380431d83f68bf39,159.5670449,103.0164842
Winner 3,63,0xca1e74a623ba3e609134e7686dc1cdcd03fbe87d,157.0722582,101.4058499
Winner 3,64,0xa5f158e596d0e4051e70631d5d72a8ee9d5a3b8a,156.8295636,101.2491663
Winner 3,65,0x257ba618269a6ee7d514813814836935bd443d41,156.2923811,100.9023612
Winner 3,66,0x6e5fac21beeba5144549295c9179009dbb209082,155.0831296,100.1216685
Winner 3,67,0x9fba9d6a6f931128cf9ac592767c87467aa2f75e,154.6722626,99.85641273
Winner 3,68,0x1c514ac814b36099df79c7f3500d519e600735d0,152.0864535,98.18701438
Winner 3,69,0xfeb095a1c17afcc3cb6c305636a58c25482b6fc5,151.1860327,97.60570271
Winner 3,70,0x4c1c8bf9951dc6ced9e9581cfe5c8507543efc5a,149.316997,96.39905326
Winner 3,71,0xbfa740b9fd221a73e3ce9a311c2614d71f357242,148.7735576,96.04820879
Winner 3,72,0xaa66d94614552cf7eba4faee8a9036ab1891af94,146.3629297,94.49190741
Winner 3,73,0xf567d04423ffb690521e584dfd0735d3b6fec37e,145.7229205,94.07871747
Winner 3,74,0xb92246136f049607423b4c986302d407aef91a17,144.7479361,93.44926755
Winner 3,75,0xddbe05076d5fe5cb02397081fecd236b69bd0811,144.7468363,93.44855752
Winner 3,76,0x44c94b0bf6ac054911e43fcfec33167e3c9bfcf0,143.633627,92.72986959
Winner 3,77,0xa0d318255fe7f0dd7e15749dae173a82d4fb3356,140.2702079,90.55844622
Winner 3,78,0xae3d90a0aa8f87f2f22b63c312d0ce06dd07223b,138.410586,89.35787432
Winner 3,79,0x2046309d9a80f9cfeaa764b0cef0b4687e582b59,136.1917785,87.9254122
Winner 3,80,0x29fca5052da9b93b2b25809135022ec367355995,134.1442037,86.60349791
Winner 3,81,0xbe40f96afd502f71b3efb69e4f780757ac4729c5,132.9251693,85.8164893
Winner 3,82,0xd2145d856942d9fbe466a8611ba592c4854a4a82,132.0940048,85.2798895
Winner 3,83,0xb3bfb32977cfd6200ab9537e3703e501d8381c9b,130.5760245,84.29988142
